Province/Territory,Program Stream,Employer,Incorporate Status,Approved LMIAs,Approved Positions,NOC code,Occupation name
Newfoundland and Labrador                                                  ,High Wage,#1Nails,Unknown,1,2,63211,"Estheticians, Electrologists And Related Occupations"
Newfoundland and Labrador                                                  ,High Wage,Clarenville Vet Hospital Inc,Unknown,1,2,31103,Veterinarians
Newfoundland and Labrador                                                  ,High Wage,Provincial Health Authority,Unknown,1,1,31101,Specialists In Surgery
Newfoundland and Labrador                                                  ,High Wage,Young'S Industrial Refrigeration,Unknown,1,1,72402,"Heating, Refrigeration And Air Conditioning Mechanics"
Newfoundland and Labrador                                                  ,Low Wage,72764 Newfoundland And Labrador Ltd.,Unknown,1,1,62020,Food Service Supervisors
Newfoundland and Labrador                                                  ,Low Wage,72764 Newfoundland And Labrador Ltd.,Unknown,1,2,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Newfoundland and Labrador                                                  ,Low Wage,76361 Nl Inc.,Unknown,1,1,62020,Food Service Supervisors
Newfoundland and Labrador                                                  ,Low Wage,76361 Nl Inc.,Unknown,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Newfoundland and Labrador                                                  ,Low Wage,94005 Newfoundland And Labrador Inc.,Unknown,1,2,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Newfoundland and Labrador                                                  ,Low Wage,Aqua Crab Producers Inc,Unknown,1,32,94142,Fish And Seafood Plant Workers
Newfoundland and Labrador                                                  ,Low Wage,B & F Enterprises Ltd.,Unknown,1,1,62020,Food Service Supervisors
Newfoundland and Labrador                                                  ,Low Wage,B & F Enterprises Ltd.,Unknown,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Newfoundland and Labrador                                                  ,Low Wage,Baie Vista Inn Limited,Unknown,1,1,12200,Accounting Technicians And Bookkeepers
Newfoundland and Labrador                                                  ,Low Wage,Baie Vista Inn Limited,Unknown,1,1,62022,"Accommodation, Travel, Tourism And Related Services Supervisors"
Newfoundland and Labrador                                                  ,Low Wage,Bjh Enterprises Inc.,Unknown,1,1,63200,Cooks
Newfoundland and Labrador                                                  ,Low Wage,Blair Holdings Limited,Unknown,1,1,65310,Light Duty Cleaners
Newfoundland and Labrador                                                  ,Low Wage,Capitol Hair Studio Inc,Unknown,1,1,63210,Hairstylists And Barbers
Newfoundland and Labrador                                                  ,Low Wage,Ecw Holdings Ltd,Unknown,1,2,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Newfoundland and Labrador                                                  ,Low Wage,Fogo Island Co-Operative Society Limited,Unknown,2,40,94142,Fish And Seafood Plant Workers
Newfoundland and Labrador                                                  ,Low Wage,Gary'S Convenience Limited,Unknown,1,1,65100,Cashiers
Newfoundland and Labrador                                                  ,Low Wage,Gary'S Convenience Limited,Unknown,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Newfoundland and Labrador                                                  ,Low Wage,Golden Shell Fisheries (2014) Limited,Unknown,2,52,94142,Fish And Seafood Plant Workers
Newfoundland and Labrador                                                  ,Low Wage,Hermitage Processing Inc.,Unknown,1,5,94142,Fish And Seafood Plant Workers
Newfoundland and Labrador                                                  ,Low Wage,I.C. Pizza House Inc.,Unknown,1,2,62020,Food Service Supervisors
Newfoundland and Labrador                                                  ,Low Wage,Indian Express Ltd,Unknown,1,1,62020,Food Service Supervisors
Newfoundland and Labrador                                                  ,Low Wage,Ker Holdings Limited,Unknown,2,4,63200,Cooks
Newfoundland and Labrador                                                  ,Low Wage,Ker Holdings Limited,Unknown,1,1,63202,Bakers
Newfoundland and Labrador                                                  ,Low Wage,Lwd Holding,Unknown,1,2,65100,Cashiers
Newfoundland and Labrador                                                  ,Low Wage,Mahakal Foods Ltd,Unknown,1,1,62020,Food Service Supervisors
Newfoundland and Labrador                                                  ,Low Wage,Meggscakes And Events Inc,Unknown,1,1,63202,Bakers
Newfoundland and Labrador                                                  ,Low Wage,Megha Holdings Limited,Unknown,1,1,44101,"Home Support Workers, Caregivers And Related Occupations"
Newfoundland and Labrador                                                  ,Low Wage,Memorial Cafe Inc,Unknown,1,2,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Newfoundland and Labrador                                                  ,Low Wage,Ocean Choice International,Unknown,1,35,94142,Fish And Seafood Plant Workers
Newfoundland and Labrador                                                  ,Low Wage,People'S Food Inc.,Unknown,2,3,62020,Food Service Supervisors
Newfoundland and Labrador                                                  ,Low Wage,Quinlan Brothers Ltd.,Unknown,1,195,94142,Fish And Seafood Plant Workers
Newfoundland and Labrador                                                  ,Low Wage,Quin-Sea Fisheries,Unknown,3,32,94142,Fish And Seafood Plant Workers
Newfoundland and Labrador                                                  ,Low Wage,Quin-Sea Fisheries,Unknown,5,189,95107,Labourers In Fish And Seafood Processing
Newfoundland and Labrador                                                  ,Low Wage,Royal Cleaning Services Inc.,Unknown,1,3,65310,Light Duty Cleaners
Newfoundland and Labrador                                                  ,Low Wage,Sunnyslope Foods Inc,Unknown,1,1,65200,Food And Beverage Servers
Newfoundland and Labrador                                                  ,Primary Agriculture,Larch Grove Farm Ltd.,Unknown,1,5,85100,Livestock Labourers
Newfoundland and Labrador                                                  ,Primary Agriculture,Munn Poultry Farm Limited,Unknown,1,1,82030,Agricultural Service Contractors And Farm Supervisors
Newfoundland and Labrador                                                  ,Primary Agriculture,Munn Poultry Farm Limited,Unknown,1,1,85100,Livestock Labourers
Newfoundland and Labrador                                                  ,Primary Agriculture,Ocean View Farm,Unknown,1,2,82030,Agricultural Service Contractors And Farm Supervisors
Prince Edward Island                                                       ,High Wage,Bulk Carriers (P.E.I.) Limited,Unknown,2,20,73300,Transport Truck Drivers
Prince Edward Island                                                       ,High Wage,Garderie Educative Cornwall Child Education Centre,Unknown,1,1,11202,"Professional Occupations In Advertising, Marketing And Public Relations"
Prince Edward Island                                                       ,High Wage,Health Pei,Unknown,6,8,31100,Specialists In Clinical And Laboratory Medicine
Prince Edward Island                                                       ,High Wage,J & C Ventures Inc,Unknown,1,1,72401,Heavy-Duty Equipment Mechanics
Prince Edward Island                                                       ,High Wage,J & C Ventures Inc,Unknown,2,4,73300,Transport Truck Drivers
Prince Edward Island                                                       ,High Wage,Majhail Construction Ltd.,Unknown,1,1,75110,Construction Trades Helpers And Labourers
Prince Edward Island                                                       ,High Wage,Shergill Developments Inc.,Unknown,1,2,75110,Construction Trades Helpers And Labourers
Prince Edward Island                                                       ,Low Wage,12428971 Canada Inc.,Unknown,1,3,75110,Construction Trades Helpers And Labourers
Prince Edward Island                                                       ,Low Wage,14225538 Canada Ltd.,Unknown,1,1,62020,Food Service Supervisors
Prince Edward Island                                                       ,Low Wage,Abbiocco Ristorante,Unknown,1,1,60030,Restaurant And Food Service Managers
Prince Edward Island                                                       ,Low Wage,Atlantic Beef Products Inc.,Unknown,1,2,94141,"Industrial Butchers And Meat Cutters, Poultry Preparers And Related Workers"
Prince Edward Island                                                       ,Low Wage,Beach Point Processing Company,Unknown,1,173,94142,Fish And Seafood Plant Workers
Prince Edward Island                                                       ,Low Wage,Belle River Enterprises Ltd,Unknown,1,12,94142,Fish And Seafood Plant Workers
Prince Edward Island                                                       ,Low Wage,Charlottetown Fresh Casual Restaurants Inc.,Unknown,1,2,63200,Cooks
Prince Edward Island                                                       ,Low Wage,Comfort Inn Charlottetown (Innvest Hotels Lp),Unknown,1,1,64314,Hotel Front Desk Clerks
Prince Edward Island                                                       ,Low Wage,D.P. Murphy Group Of Companies,Unknown,1,4,62020,Food Service Supervisors
Prince Edward Island                                                       ,Low Wage,East Cape Oyster Company,Unknown,1,4,95107,Labourers In Fish And Seafood Processing
Prince Edward Island                                                       ,Low Wage,Islandsand Holdings Incorporated,Unknown,1,1,62020,Food Service Supervisors
Prince Edward Island                                                       ,Low Wage,Islandsand Holdings Incorporated,Unknown,1,1,65201,"Food Counter Attendants, Kitchen Helpers And Related Support Occupations"
Prince Edward Island                                                       ,Low Wage,Kildare Fisheries Ltd,Unknown,1,90,94142,Fish And Seafood Plant Workers
Prince Edward Island                                                       ,Low Wage,Mckenna Bros. (1989) Limited,Unknown,1,6,95106,Labourers In Food And Beverage Processing
Prince Edward Island                                                       ,Low Wage,Msm Restaurants,Unknown,7,18,62020,Food Service Supervisors
Prince Edward Island                                                       ,Low Wage,Murphy Investments Ltd.,Unknown,2,2,63200,Cooks
Prince Edward Island                                                       ,Low Wage,North Atlantic Organics Ltd,Unknown,1,2,95109,"Other Labourers In Processing, Manufacturing And Utilities"
Prince Edward Island                                                       ,Low Wage,Rodd Management Ltd.,Unknown,2,4,63200,Cooks
Prince Edward Island                                                       ,Low Wage,Royal Star Foods Ltd,Unknown,1,20,94142,Fish And Seafood Plant Workers
Prince Edward Island                                                       ,Low Wage,Seafood 2000 Ltd.,Unknown,1,90,94142,Fish And Seafood Plant Workers
Prince Edward Island                                                       ,Primary Agriculture,101497 Pei Inc,Unknown,1,1,85101,Harvesting Labourers
Prince Edward Island                                                       ,Primary Agriculture,Atlantic Grown Organics Inc,Unknown,1,3,85103,Nursery And Greenhouse Labourers
Prince Edward Island                                                       ,Primary Agriculture,Blue Bay Farms Ltd.,Unknown,1,1,85101,Harvesting Labourers
Prince Edward Island                                                       ,Primary Agriculture,Brookfield Gardens Inc,Unknown,1,2,85101,Harvesting Labourers
Prince Edward Island                                                       ,Primary Agriculture,G Visser & Sons Inc.,Unknown,8,22,85101,Harvesting Labourers
Prince Edward Island                                                       ,Primary Agriculture,Hilltop Produce Ltd,Unknown,1,2,85101,Harvesting Labourers
Prince Edward Island                                                       ,Primary Agriculture,Island Acres Produce Ltd.,Unknown,1,4,84120,Specialized Livestock Workers And Farm Machinery Operators
Prince Edward Island                                                       ,Primary Agriculture,Jewell'S Of Prince Edward Island Inc,Unknown,1,11,85101,Harvesting Labourers
Prince Edward Island                                                       ,Primary Agriculture,Kouwenberg Farm Inc.,Unknown,1,1,82030,Agricultural Service Contractors And Farm Supervisors
Prince Edward Island                                                       ,Primary Agriculture,Kouwenberg Farm Inc.,Unknown,1,2,84120,Specialized Livestock Workers And Farm Machinery Operators
Prince Edward Island                                                       ,Primary Agriculture,Mackenzie Produce,Unknown,1,8,85101,Harvesting Labourers
Prince Edward Island                                                       ,Primary Agriculture,Middleton Farms Ltd,Unknown,1,4,85101,Harvesting Labourers
Prince Edward Island                                                       ,Primary Agriculture,Mol Farms Inc.,Unknown,1,1,84120,Specialized Livestock Workers And Farm Machinery Operators
Prince Edward Island                                                       ,Primary Agriculture,Port Hill Farm Inc,Unknown,1,1,85100,Livestock Labourers
Nova Scotia                                                                ,High Wage,11735390 Canada Inc,Unknown,1,1,12013,"Supervisors, Supply Chain, Tracking And Scheduling Coordination Occupations"
Nova Scotia                                                                ,High Wage,15022312 Canada Inc.,Unknown,1,1,12200,Accounting Technicians And Bookkeepers
Nova Scotia                                                                ,High Wage,15263433 Canada Inc.,Unknown,1,1,13110,Administrative Assistants
Nova Scotia                                                                ,High Wage,3296776 Nova Scotia Limited,Unknown,1,1,13100,Administrative Officers
Nova Scotia                                                                ,High Wage,3334964 Nova Scotia Limited,Unknown,1,2,63211,"Estheticians, Electrologists And Related Occupations"
Nova Scotia                                                                ,High Wage,4393017 Nova Scotia Limited,Unknown,1,1,72421,Appliance Servicers And Repairers
Nova Scotia                                                                ,High Wage,Bttc (Canada) Incorporated,Unknown,1,1,11201,Professional Occupations In Business Management Consulting
Nova Scotia                                                                ,High Wage,Cumberland Appraisals,Unknown,1,1,75110,Construction Trades Helpers And Labourers
Nova Scotia                                                                ,High Wage,Dalhousie University,Unknown,3,3,41200,University Professors And Lecturers
Nova Scotia                                                                ,High Wage,Folded Architectural Finishes Ltd.,Unknown,1,1,75110,Construction Trades Helpers And Labourers
Nova Scotia                                                                ,High Wage,Genpact Canada Services Company,Corporation,1,1,21222,Information Systems Specialists
Nova Scotia                                                                ,High Wage,Grind Contracting Ltd,Unknown,1,1,73110,Roofers And Shinglers
Nova Scotia                                                                ,High Wage,Hfx Foodhub Inc.,Unknown,1,1,60030,Restaurant And Food Service Managers
Nova Scotia                                                                ,High Wage,Hfx Foodhub Inc.,Unknown,1,1,62020,Food Service Supervisors
Nova Scotia                                                                ,High Wage,Hostoften Inc,Unknown,1,1,13100,Administrative Officers
Nova Scotia                                                                ,High Wage,Indian Groceries Inc.,Unknown,1,1,62010,Retail Sales Supervisors
Nova Scotia                                                                ,High Wage,Jfj Construction Ltd,Unknown,1,1,13110,Administrative Assistants
Nova Scotia                                                                ,High Wage,Keddy Quality Foundations,Unknown,1,2,73100,Concrete Finishers
Nova Scotia                                                                ,High Wage,Lck Consulting Group Limited,Unknown,1,1,13100,Administrative Officers
Nova Scotia                                                                ,High Wage,Lei Fong Hong Goods Distributor Inc.,Unknown,1,1,13100,Administrative Officers
Nova Scotia                                                                ,High Wage,New Broadway Foods Inc.,Unknown,1,1,62010,Retail Sales Supervisors
Nova Scotia                                                                ,High Wage,Om Bayers Lake Inc.,Unknown,1,2,60030,Restaurant And Food Service Managers
Nova Scotia                                                                ,High Wage,Pinnacle Construction Limited,Unknown,1,1,12102,Procurement And Purchasing Agents And Officers
Nova Scotia                                                                ,High Wage,Promising International Education Group,Unknown,1,1,13100,Administrative Officers
Nova Scotia                                                                ,High Wage,R. N. Apex Solutions Ltd,Unknown,1,1,12013,"Supervisors, Supply Chain, Tracking And Scheduling Coordination Occupations"
Nova Scotia                                                                ,High Wage,Riverton Guest Home Corporation,Unknown,1,1,31301,Registered Nurses And Registered Psychiatric Nurses
Nova Scotia                                                                ,High Wage,Scotia Curry Ltd.,Unknown,1,1,63200,Cooks
Nova Scotia                                                                ,High Wage,Scotia Structures Incorporated,Unknown,1,2,72310,Carpenters
Nova Scotia                                                                ,High Wage,Seacoast Marine Electronics Ltd,Unknown,1,1,22310,Electrical And Electronics Engineering Technologists And Technicians
Nova Scotia                                                                ,High Wage,Sobeys Capital Incorporée,Unknown,1,3,73300,Transport Truck Drivers
Nova Scotia                                                                ,High Wage,T&Z Consulting Limited,Unknown,1,1,13110,Administrative Assistants
Nova Scotia                                                                ,High Wage,Tried & True Builders Ltd,Unknown,1,1,72310,Carpenters
Nova Scotia                                                                ,High Wage,V.Somasekaramdds Incorporated,Unknown,1,1,13100,Administrative Officers
